Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF,Lo 30,Hi 30,Low30_INV,High30_INV,INV_auto,SMALL LoBM_excess,ME1 BM2_excess,ME1 BM3_excess,ME1 BM4_excess,SMALL HiBM_excess,ME2 BM1_excess,ME2 BM2_excess,ME2 BM3_excess,ME2 BM4_excess,ME2 BM5_excess,ME3 BM1_excess,ME3 BM2_excess,ME3 BM3_excess,ME3 BM4_excess,ME3 BM5_excess,ME4 BM1_excess,ME4 BM2_excess,ME4 BM3_excess,ME4 BM4_excess,ME4 BM5_excess,BIG LoBM_excess,ME5 BM2_excess,ME5 BM3_excess,ME5 BM4_excess,BIG HiBM_excess
1965-03-01,1.6603,2.356,1.294,2.5157,3.2649,2.0932,-1.9256,1.4205,1.8682,0.613,-0.1958,-0.058,-0.2656,1.3259,1.2556,-0.7952,-0.3177,-0.5215,0.4395,1.2487,-1.3223,-1.5775,-1.8049,-0.7155,0.3491,-1.34,1.89,1.03,0.36,-0.68,-0.85,-0.44,-0.7866666666666667,0.16999999999999993,1.3003,1.996,0.934,2.1557,2.9049,1.7332,-2.2856,1.0605000000000002,1.5082,0.253,-0.5558,-0.418,-0.6255999999999999,0.9659000000000001,0.8956000000000001,-1.1552,-0.6777,-0.8815,0.07950000000000002,0.8886999999999999,-1.6823000000000001,-1.9375,-2.1649,-1.0755,-0.010899999999999965
1965-04-01,4.0673,4.4088,4.5002,4.4508,4.6372,0.1507,5.0346,3.8264,4.8201,5.1431,2.4942,3.1188,3.8854,3.7269,5.9095,2.6199,3.197,4.5019,4.3912,2.7151,4.5841,1.8741,2.1659,2.2052,4.4472,3.11,1.1,0.66,0.31,2.34,4.97,2.4833333333333334,4.963333333333334,-2.63,3.7573000000000003,4.098800000000001,4.190200000000001,4.1408000000000005,4.3272,-0.1593,4.724600000000001,3.5164,4.5101,4.8331,2.1842,2.8087999999999997,3.5754,3.4169,5.599500000000001,2.3099,2.887,4.1919,4.081200000000001,2.4051,4.274100000000001,1.5641,1.8559,1.8952,4.1372
1965-05-01,-0.4533,-2.6027,-0.7366,-0.7971,-1.1928,1.0558,-0.7126,-1.165,0.1118,-2.0624,-0.0216,0.2524,-1.0239,-0.8095,-0.0256,-0.9613,0.0357,-1.0189,-0.3614,-4.0819,-0.7392,0.8349,-0.0801,-0.3532,-3.5682,-0.77,0.11,-1.61,0.31,0.38,-0.05,0.1533333333333333,-0.023333333333333327,0.43,-0.7633,-2.9127,-1.0466,-1.1071,-1.5028000000000001,0.7458,-1.0226,-1.475,-0.1982,-2.3724,-0.3316,-0.057599999999999985,-1.3339,-1.1195,-0.3356,-1.2713,-0.2743,-1.3289,-0.6714,-4.3919,-1.0492,0.5248999999999999,-0.3901,-0.6632,-3.8782
1965-06-01,-12.5826,-10.4242,-9.4378,-7.9016,-9.5466,-10.3792,-8.5925,-8.9398,-8.4153,-8.2828,-6.5044,-9.2137,-8.506,-8.7817,-8.4265,-6.3508,-6.9696,-8.0006,-8.6617,-8.3029,-4.4306,-3.6623,-4.9342,-3.6044,-5.4677,-5.51,-4.34,0.59,0.35,-6.04,-6.15,-6.096666666666667,-6.296666666666667,0.11000000000000032,-12.932599999999999,-10.7742,-9.787799999999999,-8.2516,-9.8966,-10.7292,-8.942499999999999,-9.2898,-8.7653,-8.6328,-6.8544,-9.563699999999999,-8.856,-9.1317,-8.7765,-6.700799999999999,-7.319599999999999,-8.3506,-9.0117,-8.652899999999999,-4.7806,-4.0123,-5.284199999999999,-3.9544,-5.817699999999999
1965-07-01,2.4066,3.5235,3.5835,2.0599,4.4344,3.7763,1.6586,2.9233,3.4551,4.1702,1.5471,4.5216,2.5779,4.4099,4.9453,2.6113,3.1904,4.0197,2.6533,6.2405,1.5245,-0.0022,1.8997,3.8748,4.8239,1.43,0.89,2.2,0.31,1.72,1.9,1.7133333333333332,1.9266666666666667,-0.17999999999999994,2.0966,3.2135,3.2735,1.7498999999999998,4.1244000000000005,3.4663,1.3486,2.6132999999999997,3.1451,3.8602000000000003,1.2370999999999999,4.211600000000001,2.2679,4.099900000000001,4.6353,2.3013,2.8804,3.7097,2.3433,5.9305,1.2145,-0.3122,1.5897,3.5648,4.5139000000000005
1965-08-01,2.6822,5.4187,5.1589,4.1396,3.7423,7.2889,4.2314,5.0365,4.8869,4.071,8.3161,4.5844,7.7311,3.1778,6.5716,3.7937,4.0947,5.1162,2.9962,4.8756,3.2621,1.2963,3.4495,1.1232,2.1656,2.73,2.84,-1.0,0.33,2.67,4.19,2.8066666666666666,4.196666666666666,-1.5200000000000005,2.3522,5.0887,4.8289,3.8095999999999997,3.4123,6.9589,3.9013999999999998,4.7065,4.5569,3.7409999999999997,7.9861,4.2543999999999995,7.4011,2.8478,6.2416,3.4637,3.7646999999999995,4.7862,2.6662,4.5456,2.9321,0.9662999999999999,3.1195,0.7931999999999999,1.8356
1965-09-01,3.4635,5.8827,1.4205,3.9424,3.1979,5.8302,3.7853,2.7156,4.6303,2.9301,2.4738,2.8212,3.2943,5.2629,4.6037,3.4979,4.0215,1.4241,2.9038,3.843,3.9272,2.3025,2.3895,3.5201,3.2158,2.86,0.64,-0.13,0.31,4.44,3.0,4.510000000000001,2.986666666666667,1.4400000000000004,3.1534999999999997,5.5727,1.1105,3.6324,2.8879,5.5202,3.4753,2.4055999999999997,4.3203000000000005,2.6201,2.1638,2.5112,2.9842999999999997,4.9529000000000005,4.2937,3.1879,3.7114999999999996,1.1140999999999999,2.5938,3.533,3.6172,1.9925000000000002,2.0795,3.2100999999999997,2.9058
1965-10-01,6.09,9.0359,6.0719,5.6444,9.1139,4.0884,7.8661,3.7498,5.888,5.2867,4.6122,4.3104,5.5895,5.7282,5.0518,4.0576,3.3465,3.0869,4.4819,8.0751,3.1384,0.2141,3.0055,4.4222,5.2227,2.6,2.52,1.56,0.31,2.78,3.44,3.1133333333333333,3.44,-0.6600000000000001,5.78,8.7259,5.761900000000001,5.3344000000000005,8.803899999999999,3.7784,7.556100000000001,3.4398,5.578,4.9767,4.3022,4.0004,5.2795000000000005,5.418200000000001,4.7418000000000005,3.7476,3.0364999999999998,2.7769,4.171900000000001,7.765100000000001,2.8284,-0.09589999999999999,2.6955,4.1122000000000005,4.9127
1965-11-01,4.1108,6.7151,2.77,7.7864,6.6006,1.4172,5.1589,4.4189,5.1748,3.8633,3.2219,2.9017,5.5331,2.7199,3.1658,3.8065,2.6728,3.3122,1.0412,5.4646,-0.3037,-1.8238,1.2479,-1.2821,-2.3036,-0.03,4.68,0.15,0.35,-0.18,2.43,0.18000000000000008,2.483333333333333,-2.6100000000000003,3.7608,6.3651,2.42,7.436400000000001,6.2506,1.0672000000000001,4.8089,4.0689,4.824800000000001,3.5133,2.8719,2.5517,5.1831000000000005,2.3699,2.8158,3.4565,2.3228,2.9621999999999997,0.6911999999999999,5.1146,-0.6537,-2.1738,0.8979,-1.6320999999999999,-2.6536
1965-12-01,7.1532,6.786,2.2027,4.2464,4.7762,4.0358,3.8095,3.3143,2.6799,7.4888,2.6918,1.3494,4.2088,1.5634,5.2408,1.3855,1.1935,1.7102,4.3218,5.2964,1.0103,-0.2234,1.3169,2.7992,2.7121,1.01,2.06,2.03,0.33,1.27,1.09,1.2366666666666668,1.0933333333333333,0.17999999999999994,6.8232,6.4559999999999995,1.8727,3.9164000000000003,4.4462,3.7058,3.4795,2.9842999999999997,2.3499,7.1588,2.3618,1.0193999999999999,3.8788,1.2333999999999998,4.9108,1.0554999999999999,0.8634999999999999,1.3801999999999999,3.9917999999999996,4.9664,0.6802999999999999,-0.5534,0.9868999999999999,2.4692,2.3821
