,Market Return,Rf
200005,-4.92,0.5
200006,4.24,0.4
200007,-2.99,0.48
200008,6.53,0.5
200009,-5.96,0.51
200010,-3.32,0.56
200011,-11.23,0.51
200012,0.69,0.5
200101,2.59,0.54
200102,-10.43,0.38
200103,-7.68,0.42
200104,7.55,0.39
200105,0.4,0.32
200106,-2.22,0.28
200107,-2.43,0.3
200108,-6.77,0.31
200109,-9.53,0.28
200110,2.24,0.22
200111,7.37,0.17
200112,1.45,0.15
200201,-1.58,0.14
200202,-2.42,0.13
200203,4.11,0.13
200204,-5.35,0.15
200205,-1.52,0.14
200206,-7.34,0.13
200207,-8.33,0.15
200208,0.36,0.14
200209,-10.49,0.14
200210,7.7,0.14
200211,5.84,0.12
200212,-5.87,0.11
200301,-2.67,0.1
200302,-1.97,0.09
200303,0.99,0.1
200304,8.12,0.1
200305,5.96,0.09
200306,1.32,0.1
200307,2.28,0.07
200308,2.27,0.07
200309,-1.32,0.08
200310,6.01,0.07
200311,1.28,0.07
200312,4.21,0.08
200401,2.08,0.07
200402,1.34,0.06
200403,-1.41,0.09
200404,-1.91,0.08
200405,1.11,0.06
200406,1.78,0.08
200407,-4.16,0.1
200408,-0.03,0.11
200409,1.49,0.11
200410,1.32,0.11
200411,4.39,0.15
200412,3.27,0.16
200501,-2.92,0.16
200502,1.73,0.16
200503,-2.18,0.21
200504,-2.82,0.21
200505,3.41,0.24
200506,0.34,0.23
200507,3.68,0.24
200508,-1.52,0.3
200509,0.2,0.29
200510,-2.29,0.27
200511,3.3,0.31
200512,-0.57,0.32
200601,2.69,0.35
200602,-0.64,0.34
200603,1.09,0.37
200604,0.37,0.36
200605,-4,0.43
200606,-0.75,0.4
200607,-1.18,0.4
200608,1.61,0.42
200609,1.43,0.41
200610,2.82,0.41
200611,1.29,0.42
200612,0.47,0.4
200701,0.96,0.44
200702,-2.34,0.38
200703,0.25,0.43
200704,3.05,0.44
200705,2.83,0.41
200706,-2.36,0.4
200707,-4.13,0.4
200708,0.5,0.42
200709,2.9,0.32
200710,1.48,0.32
200711,-5.17,0.34
200712,-1.14,0.27
200801,-6.57,0.21
200802,-3.22,0.13
200803,-1.1,0.17
200804,4.42,0.18
200805,1.68,0.18
200806,-8.61,0.17
200807,-0.92,0.15
200808,1.4,0.13
200809,-9.39,0.15
200810,-17.31,0.08
200811,-7.89,0.03
200812,1.74,0
200901,-8.12,0
200902,-10.11,0.01
200903,8.93,0.02
200904,10.17,0.01
200905,5.21,0
200906,0.42,0.01
200907,7.71,0.01
200908,3.32,0.01
200909,4.07,0.01
200910,-2.59,0
200911,5.56,0
200912,2.74,0.01
201001,-3.36,0
201002,3.4,0
201003,6.3,0.01
201004,1.99,0.01
201005,-7.9,0.01
201006,-5.58,0.01
201007,6.92,0.01
201008,-4.78,0.01
201009,9.53,0.01
201010,3.87,0.01
201011,0.59,0.01
201012,6.81,0.01
201101,1.98,0.01
201102,3.48,0.01
201103,0.45,0.01
201104,2.9,0
201105,-1.27,0
201106,-1.75,0
201107,-2.35,0
201108,-6,0.01
201109,-7.59,0
201110,11.35,0
201111,-0.28,0
201112,0.74,0
201201,5.05,0
201202,4.42,0
201203,3.11,0
201204,-0.85,0
201205,-6.2,0.01
201206,3.89,0
201207,0.79,0
201208,2.54,0.01
201209,2.72,0.01
201210,-1.77,0.01
201211,0.77,0.01
201212,1.17,0.01
201301,5.57,0
201302,1.29,0
201303,4.03,0
201304,1.55,0
201305,2.8,0
201306,-1.2,0
201307,5.65,0
201308,-2.71,0
201309,3.77,0
201310,4.18,0
201311,3.13,0
201312,2.81,0
201401,-3.32,0
201402,4.65,0
201403,0.43,0
201404,-0.19,0
201405,2.06,0
201406,2.61,0
201407,-2.04,0
201408,4.24,0
201409,-1.97,0
201410,2.52,0
201411,2.55,0
201412,-0.06,0
201501,-3.11,0
201502,6.13,0
201503,-1.12,0
201504,0.59,0
201505,1.36,0
201506,-1.53,0
201507,1.54,0
201508,-6.04,0
201509,-3.07,0
201510,7.75,0
201511,0.57,0
201512,-2.18,0.01
201601,-5.78,0.01
201602,-0.09,0.02
201603,6.94,0.02
201604,0.9,0.01
201605,1.77,0.01
201606,-0.07,0.02
201607,3.93,0.02
201608,0.47,0.02
201609,0.23,0.02
201610,-2.04,0.02
201611,4.85,0.01
201612,1.79,0.03
201701,1.9,0.04
201702,3.53,0.04
201703,0.14,0.03
201704,1.04,0.05
201705,1,0.06
201706,0.72,0.06
201707,1.8,0.07
201708,0.07,0.09
201709,2.42,0.09
201710,2.16,0.09
201711,3.04,0.08
201712,0.97,0.09
201801,5.45,0.12
201802,-3.76,0.11
201803,-2.46,0.11
201804,0.15,0.14
201805,2.51,0.14
201806,0.34,0.14
201807,3.03,0.16
201808,3.28,0.16
201809,-0.09,0.15
201810,-7.87,0.19
201811,1.51,0.18
201812,-9.77,0.2
201901,8.19,0.21
201902,3.22,0.18
201903,0.91,0.19
201904,3.76,0.21
201905,-7.15,0.21
201906,6.75,0.18
201907,1,0.19
201908,-2.74,0.16
201909,1.25,0.18
201910,1.9,0.16
201911,3.76,0.12
201912,2.63,0.14
202001,-0.24,0.13
202002,-8.25,0.12
202003,-13.52,0.13
202004,13.65,0
202005,5.57,0.01
202006,2.45,0.01
202007,5.76,0.01
202008,7.62,0.01
202009,-3.64,0.01
202010,-2.11,0.01
202011,12.46,0.01
202012,4.62,0.01
202101,-0.04,0.01
202102,2.78,0
202103,3.08,0
202104,4.93,0
202105,0.29,0
202106,2.75,0
202107,1.27,0
202108,2.91,0
202109,-4.37,0
202110,6.65,0
202111,-1.55,0
202112,3.09,0.01
202201,-6.25,0
202202,-2.29,0
202203,3.05,0.01
202204,-9.47,0.01
202205,-0.37,0.03
202206,-8.5,0.06
202207,9.49,0.08
202208,-3.96,0.19
202209,-9.54,0.19
202210,7.6,0.23
202211,4.32,0.29
202212,-6.74,0.33
202301,6.29,0.35
202302,-2.93,0.34
202303,2.15,0.36
202304,0.26,0.35
202305,-0.01,0.36
202306,6.07,0.4
202307,2.76,0.45
202308,-2.84,0.45
202309,-5.67,0.43
202310,-3.65,0.47
202311,8.39,0.44
202312,4.44,0.43
202401,0.23,0.47
202402,4.65,0.42
202403,2.4,0.43
202404,-5.14,0.47
202405,3.9,0.44
202406,2.36,0.41
